time,raw_reading,batch,capacitance
20,14567186,2,13.67288379
20,14575077,2,13.67673682
20,14574409,2,13.67641064
20,14570218,2,13.67436426
20,14567775,2,13.67317139
20,14577005,2,13.67767822
20,14566136,2,13.67237109
20,14562110,2,13.67040527
20,14565783,2,13.67219873
20,14568085,2,13.67332275
20,14574961,2,13.67668018
20,14571262,2,13.67487402
20,14582217,2,13.68022314
20,14571093,2,13.6747915
20,14575520,2,13.67695312
20,14559411,2,13.6690874
20,14577692,2,13.67801367
20,14566247,2,13.67242529
20,14572716,2,13.67558398
20,14563774,2,13.67121777
20,14570127,2,13.67431982
20,14569768,2,13.67414453
20,14567564,2,13.67306836
20,14578348,2,13.67833398
20,14560604,2,13.66966992
20,14568873,2,13.67370752
20,14554169,2,13.66652783
40,13411087,3,13.10838232
40,13411570,3,13.10861816
40,13416408,3,13.11098047
40,13419183,3,13.11233545
40,13406888,3,13.10633203
40,13398886,3,13.1024248
40,13405094,3,13.10545605
40,13415905,3,13.11073486
40,13411815,3,13.10873779
40,13433224,3,13.11919141
40,13410868,3,13.10827539
40,13417024,3,13.11128125
40,13414898,3,13.11024316
40,13420770,3,13.11311035
40,13416260,3,13.1109082
40,13403041,3,13.10445361
40,13421312,3,13.113375
40,13399937,3,13.10293799
40,13429006,3,13.11713184
40,13417505,3,13.11151611
40,13407977,3,13.10686377
40,13417813,3,13.1116665
40,13415441,3,13.1105083
40,13421485,3,13.11345947
40,13414043,3,13.10982568
40,13414205,3,13.10990479
40,13411251,3,13.1084624
40,13411059,3,13.10836865
40,13411464,3,13.10856641
40,13420098,3,13.11278223
40,13420924,3,13.11318555
40,13419670,3,13.11257324
40,13423683,3,13.11453271
40,13420258,3,13.11286035
40,13422919,3,13.11415967
40,13417515,3,13.111521
40,13423641,3,13.11451221
40,13420368,3,13.11291406
40,13421733,3,13.11358057
40,13415374,3,13.11047559
40,13409572,3,13.10764258
40,13427443,3,13.11636865
40,13410454,3,13.10807324
40,13413158,3,13.10939355
40,13413385,3,13.10950439
40,13417635,3,13.11157959
40,13418256,3,13.11188281
40,13421468,3,13.11345117
40,13425006,3,13.11517871
40,13422030,3,13.11372559
40,13414761,3,13.11017627
40,13435694,3,13.12039746
40,13429954,3,13.11759473
40,13429817,3,13.11752783
40,13418592,3,13.11204687
40,13428789,3,13.11702588
40,13414927,3,13.11025732
40,13420675,3,13.11306396
40,13414008,3,13.10980859
40,13428051,3,13.11666553
40,13418133,3,13.11182275
40,13423311,3,13.11435107
40,13417811,3,13.11166553
40,13416377,3,13.11096533
40,13417055,3,13.11129639
40,13411789,3,13.1087251
40,13424597,3,13.114979
40,13421350,3,13.11339355
40,13427509,3,13.11640088
40,13412955,3,13.10929443
40,13422721,3,13.11406299
40,13420857,3,13.11315283
40,13414888,3,13.11023828
40,13422961,3,13.11418018
40,13431296,3,13.11825
40,13426428,3,13.11587305
40,13417827,3,13.11167334
40,13421038,3,13.11324121
40,13421456,3,13.11344531
60,13467768,4,13.13605859
60,13479273,4,13.14167627
60,13475346,4,13.13975879
60,13482149,4,13.14308057
60,13487473,4,13.14568018
60,13487647,4,13.14576514
60,13475117,4,13.13964697
60,13481319,4,13.14267529
60,13473860,4,13.1390332
60,13486674,4,13.14529004
60,13461242,4,13.13287207
60,13484458,4,13.14420801
60,13466067,4,13.13522803
60,13481779,4,13.1428999
60,13467666,4,13.13600879
60,13481662,4,13.14284277
60,13471283,4,13.1377749
60,13476484,4,13.14031445
60,13473670,4,13.13894043
60,13465840,4,13.13511719
60,13486160,4,13.14503906
60,13477664,4,13.14089062
60,13478735,4,13.14141357
60,13478181,4,13.14114307
60,13483461,4,13.14372119
60,13478643,4,13.14136865
60,13487764,4,13.14582227
60,13478419,4,13.14125928
60,13491450,4,13.14762207
60,13475546,4,13.13985645
60,13479514,4,13.14179395
60,13478766,4,13.14142871
60,13480544,4,13.14229688
60,13476117,4,13.14013525
60,13476680,4,13.14041016
60,13477770,4,13.14094238
60,13481296,4,13.14266406
60,13476886,4,13.14051074
60,13472703,4,13.13846826
60,13461433,4,13.13296533
60,13476577,4,13.14035986
60,13482767,4,13.14338232
60,13494002,4,13.14886816
60,13475992,4,13.14007422
60,13477259,4,13.14069287
60,13478876,4,13.14148242
60,13481972,4,13.14299414
60,13469511,4,13.13690967
60,13497163,4,13.15041162
