['0.0', '13916322.0', '1.0', '2.6990791015625']
['0.0', '13916616.0', '1.0', '2.69922265625']
['0.0', '13916052.0', '1.0', '2.6989472656249998']
['0.0', '13916703.0', '1.0', '2.6992651367187497']
['0.0', '13917664.0', '1.0', '2.6997343750000002']
['0.0', '13917632.0', '1.0', '2.6997187499999997']
['0.0', '13918340.0', '1.0', '2.700064453125']
['0.0', '13917589.0', '1.0', '2.69969775390625']
['0.0', '13917872.0', '1.0', '2.6998359374999996']
['0.0', '13919110.0', '1.0', '2.7004404296875']
['0.0', '13917699.0', '1.0', '2.69975146484375']
['0.0', '13918217.0', '1.0', '2.70000439453125']
['0.0', '13917516.0', '1.0', '2.6996621093749997']
['0.0', '13918068.0', '1.0', '2.6999316406250005']
['0.0', '13916032.0', '1.0', '2.6989375000000004']
['0.0', '13915689.0', '1.0', '2.69877001953125']
['0.0', '13917078.0', '1.0', '2.6994482421874997']
['0.0', '13917564.0', '1.0', '2.699685546875']
['0.0', '13918072.0', '1.0', '2.69993359375']
['0.0', '13917601.0', '1.0', '2.69970361328125']
['0.0', '13917059.0', '1.0', '2.6994389648437505']
['0.0', '13916985.0', '1.0', '2.69940283203125']
['0.0', '13917626.0', '1.0', '2.6997158203125']
['0.0', '13917509.0', '1.0', '2.69965869140625']
['0.0', '13917487.0', '1.0', '2.6996479492187504']
['0.0', '13917969.0', '1.0', '2.6998833007812504']
['0.0', '13918260.0', '1.0', '2.700025390625']
['0.0', '13917780.0', '1.0', '2.6997910156250002']
['0.0', '13917675.0', '1.0', '2.6997397460937504']
['0.0', '13917095.0', '1.0', '2.6994565429687505']
['0.0', '13919091.0', '1.0', '2.70043115234375']
['0.0', '13917294.0', '1.0', '2.6995537109375']
['0.0', '13917949.0', '1.0', '2.69987353515625']
['0.0', '13918246.0', '1.0', '2.7000185546875004']
['0.0', '13916413.0', '1.0', '2.69912353515625']
['0.0', '13918033.0', '1.0', '2.6999145507812496']
['0.0', '13917819.0', '1.0', '2.6998100585937497']
['0.0', '13918137.0', '1.0', '2.69996533203125']
['0.0', '13918576.0', '1.0', '2.7001796875000004']
['0.0', '13918159.0', '1.0', '2.6999760742187497']
['0.0', '13918309.0', '1.0', '2.7000493164062505']
['0.0', '13917330.0', '1.0', '2.6995712890625']
['0.0', '13920121.0', '1.0', '2.7009340820312504']
['0.0', '13916475.0', '1.0', '2.69915380859375']
['0.0', '13919446.0', '1.0', '2.7006044921875']
['0.0', '13917237.0', '1.0', '2.6995258789062504']
['0.0', '13917905.0', '1.0', '2.6998520507812502']
['0.0', '13918328.0', '1.0', '2.7000585937499997']
['0.0', '13916050.0', '1.0', '2.6989462890625004']
['0.0', '13916219.0', '1.0', '2.6990288085937504']
['0.0', '13916893.0', '1.0', '2.69935791015625']
['0.0', '13918097.0', '1.0', '2.69994580078125']
['0.0', '13917094.0', '1.0', '2.6994560546875004']
['0.0', '13918528.0', '1.0', '2.70015625']
['0.0', '13918061.0', '1.0', '2.6999282226562498']
['0.0', '13918860.0', '1.0', '2.700318359375']
['0.0', '13918118.0', '1.0', '2.6999560546875']
['0.0', '13916723.0', '1.0', '2.69927490234375']
['0.0', '13918356.0', '1.0', '2.700072265625']
['0.0', '13917362.0', '1.0', '2.6995869140625004']
['0.0', '13917618.0', '1.0', '2.6997119140625']
['0.0', '13917212.0', '1.0', '2.6995136718749997']
['0.0', '13917604.0', '1.0', '2.6997050781250005']
['0.0', '13917522.0', '1.0', '2.6996650390625003']
['0.0', '13918660.0', '1.0', '2.700220703125']
['0.0', '13918873.0', '1.0', '2.7003247070312497']
['0.0', '13916326.0', '1.0', '2.6990810546875004']
['0.0', '13917452.0', '1.0', '2.6996308593750005']
['0.0', '13917158.0', '1.0', '2.6994873046874996']
['0.0', '13918508.0', '1.0', '2.700146484375']
['0.0', '13918616.0', '1.0', '2.70019921875']
