paper,capacitance
1.000000000000000000e+01,1.467498100000000000e+07
1.000000000000000000e+01,1.469522500000000000e+07
1.000000000000000000e+01,1.468980100000000000e+07
1.000000000000000000e+01,1.468766300000000000e+07
1.000000000000000000e+01,1.468562700000000000e+07
1.100000000000000000e+01,1.514915000000000000e+07
1.100000000000000000e+01,1.515405400000000000e+07
1.100000000000000000e+01,1.516645100000000000e+07
1.100000000000000000e+01,1.515500500000000000e+07
1.100000000000000000e+01,1.515284900000000000e+07
1.100000000000000000e+01,1.514416700000000000e+07
1.100000000000000000e+01,1.516081600000000000e+07
1.100000000000000000e+01,1.515469500000000000e+07
1.100000000000000000e+01,1.514688000000000000e+07
1.100000000000000000e+01,1.515635300000000000e+07
1.100000000000000000e+01,1.515179900000000000e+07
1.100000000000000000e+01,1.516339200000000000e+07
1.100000000000000000e+01,1.516101400000000000e+07
1.100000000000000000e+01,1.516606800000000000e+07
1.100000000000000000e+01,1.514933600000000000e+07
1.100000000000000000e+01,1.516061400000000000e+07
1.100000000000000000e+01,1.517201500000000000e+07
1.100000000000000000e+01,1.516848000000000000e+07
1.100000000000000000e+01,1.516370300000000000e+07
1.100000000000000000e+01,1.515533000000000000e+07
1.100000000000000000e+01,1.516667300000000000e+07
1.100000000000000000e+01,1.515294400000000000e+07
1.100000000000000000e+01,1.516200500000000000e+07
1.100000000000000000e+01,1.516142900000000000e+07
1.100000000000000000e+01,1.517581000000000000e+07
1.100000000000000000e+01,1.514895100000000000e+07
1.100000000000000000e+01,1.515378200000000000e+07
1.100000000000000000e+01,1.516206900000000000e+07
1.100000000000000000e+01,1.516264700000000000e+07
1.100000000000000000e+01,1.515920200000000000e+07
1.100000000000000000e+01,1.516342400000000000e+07
1.100000000000000000e+01,1.517080400000000000e+07
1.100000000000000000e+01,1.515635500000000000e+07
1.100000000000000000e+01,1.515881700000000000e+07
1.100000000000000000e+01,1.516870100000000000e+07
1.100000000000000000e+01,1.516073600000000000e+07
1.100000000000000000e+01,1.516267600000000000e+07
1.100000000000000000e+01,1.516251400000000000e+07
1.100000000000000000e+01,1.517036900000000000e+07
1.100000000000000000e+01,1.516780000000000000e+07
1.100000000000000000e+01,1.516739000000000000e+07
1.100000000000000000e+01,1.516280100000000000e+07
1.100000000000000000e+01,1.516466900000000000e+07
1.100000000000000000e+01,1.516622200000000000e+07
1.100000000000000000e+01,1.516920300000000000e+07
1.100000000000000000e+01,1.516727200000000000e+07
1.100000000000000000e+01,1.516586100000000000e+07
1.100000000000000000e+01,1.516980200000000000e+07
1.100000000000000000e+01,1.516861600000000000e+07
1.100000000000000000e+01,1.517074500000000000e+07
1.100000000000000000e+01,1.515421100000000000e+07
1.100000000000000000e+01,1.515659100000000000e+07
1.100000000000000000e+01,1.517049000000000000e+07
1.100000000000000000e+01,1.514838500000000000e+07
1.100000000000000000e+01,1.516699200000000000e+07
1.100000000000000000e+01,1.516440500000000000e+07
1.100000000000000000e+01,1.516333900000000000e+07
