128.0,14701879.0,1.0,3.0826518554687503
128.0,14702147.0,1.0,3.0827827148437503
128.0,14702191.0,1.0,3.0828041992187503
128.0,14702271.0,1.0,3.0828432617187502
128.0,14702126.0,1.0,3.0827724609375
128.0,14702183.0,1.0,3.0828002929687504
128.0,14702048.0,1.0,3.0827343750000002
128.0,14702041.0,1.0,3.0827309570312504
128.0,14702141.0,1.0,3.0827797851562497
128.0,14702174.0,1.0,3.0827958984375003
128.0,14702193.0,1.0,3.0828051757812505
128.0,14702099.0,1.0,3.08275927734375
128.0,14702172.0,1.0,3.082794921875
128.0,14702080.0,1.0,3.08275
128.0,14702152.0,1.0,3.08278515625
128.0,14702293.0,1.0,3.0828540039062498
128.0,14702215.0,1.0,3.08281591796875
128.0,14702160.0,1.0,3.0827890625
128.0,14702012.0,1.0,3.082716796875
128.0,14702067.0,1.0,3.0827436523437504
128.0,14702298.0,1.0,3.0828564453125002
128.0,14702067.0,1.0,3.0827436523437504
128.0,14702175.0,1.0,3.0827963867187504
128.0,14702205.0,1.0,3.08281103515625
128.0,14702060.0,1.0,3.0827402343749997
128.0,14701966.0,1.0,3.0826943359375
128.0,14702048.0,1.0,3.0827343750000002
128.0,14702095.0,1.0,3.0827573242187505
128.0,14702187.0,1.0,3.08280224609375
128.0,14702184.0,1.0,3.0828007812500005
128.0,14702230.0,1.0,3.0828232421874997
128.0,14702084.0,1.0,3.0827519531250003
128.0,14702110.0,1.0,3.0827646484375
128.0,14702156.0,1.0,3.0827871093750003
128.0,14702231.0,1.0,3.08282373046875
128.0,14701996.0,1.0,3.0827089843750004
128.0,14702097.0,1.0,3.08275830078125
128.0,14702145.0,1.0,3.08278173828125
128.0,14702085.0,1.0,3.0827524414062504
128.0,14702174.0,1.0,3.0827958984375003
128.0,14702078.0,1.0,3.0827490234374997
128.0,14702052.0,1.0,3.0827363281249998
128.0,14702244.0,1.0,3.082830078125
128.0,14702063.0,1.0,3.08274169921875
128.0,14702049.0,1.0,3.0827348632812503
128.0,14702115.0,1.0,3.08276708984375
128.0,14702197.0,1.0,3.08280712890625
128.0,14702132.0,1.0,3.0827753906249997
128.0,14702131.0,1.0,3.0827749023437496
128.0,14702185.0,1.0,3.0828012695312497
128.0,14702156.0,1.0,3.0827871093750003
128.0,14702166.0,1.0,3.0827919921875004
128.0,14702059.0,1.0,3.0827397460937505
128.0,14702339.0,1.0,3.08287646484375
128.0,14702190.0,1.0,3.0828037109375
128.0,14702123.0,1.0,3.0827709960937497
129.0,14414286,2.0,3.0750380859375
129.0,14414369,2.0,3.07507861328125
129.0,14414337,2.0,3.0750629882812497
129.0,14414272,2.0,3.0750312500000003
129.0,14414395,2.0,3.07509130859375
129.0,14414190,2.0,3.0749912109375
129.0,14414265,2.0,3.0750278320312496
129.0,14414207,2.0,3.07499951171875
129.0,14414213,2.0,3.07500244140625
129.0,14414334,2.0,3.0750615234375003
129.0,14414183,2.0,3.0749877929687504
129.0,14414206,2.0,3.0749990234375
129.0,14414394,2.0,3.0750908203125
129.0,14414288,2.0,3.0750390625
129.0,14414226,2.0,3.0750087890625
129.0,14414269,2.0,3.07502978515625
129.0,14414245,2.0,3.0750180664062503
129.0,14414234,2.0,3.0750126953125
129.0,14414317,2.0,3.0750532226562504
129.0,14414230,2.0,3.0750107421874997
129.0,14414358,2.0,3.0750732421875
129.0,14414265,2.0,3.0750278320312496
129.0,14414179,2.0,3.07498583984375
129.0,14414187,2.0,3.07498974609375
129.0,14414281,2.0,3.0750356445312503
129.0,14414329,2.0,3.07505908203125
129.0,14414256,2.0,3.0750234374999996
129.0,14414221,2.0,3.0750063476562497
129.0,14414307,2.0,3.0750483398437503
129.0,14414358,2.0,3.0750732421875
129.0,14414251,2.0,3.07502099609375
129.0,14414232,2.0,3.07501171875
129.0,14414406,2.0,3.0750966796875003
129.0,14414436,2.0,3.0751113281249998
129.0,14414167,2.0,3.0749799804687497
129.0,14414257,2.0,3.0750239257812497
129.0,14414262,2.0,3.0750263671875
129.0,14414254,2.0,3.0750224609375003
129.0,14414131,2.0,3.0749624023437496
129.0,14414208,2.0,3.075
129.0,14414232,2.0,3.07501171875
129.0,14414047,2.0,3.07492138671875
129.0,14414245,2.0,3.0750180664062503
129.0,14414281,2.0,3.0750356445312503
129.0,14414065,2.0,3.07493017578125
129.0,14414241,2.0,3.07501611328125
129.0,14414495,2.0,3.0751401367187503
129.0,14414227,2.0,3.0750092773437503
129.0,14414317,2.0,3.0750532226562504
129.0,14414302,2.0,3.0750458984374998
129.0,14414140,2.0,3.0749667968749996
129.0,14414202,2.0,3.0749970703125005
129.0,14414229,2.0,3.0750102539062505
129.0,14414198,2.0,3.0749951171875
129.0,14414125,2.0,3.07495947265625
130.0,14066693,3.0,3.0381274414062505
130.0,14066538,3.0,3.0380517578125
130.0,14066627,3.0,3.03809521484375
130.0,14066543,3.0,3.0380541992187498
130.0,14066415,3.0,3.0379916992187503
130.0,14066467,3.0,3.03801708984375
130.0,14066463,3.0,3.03801513671875
130.0,14066521,3.0,3.0380434570312502
130.0,14066543,3.0,3.0380541992187498
130.0,14066492,3.0,3.038029296875
130.0,14066435,3.0,3.0380014648437497
130.0,14066519,3.0,3.03804248046875
130.0,14066512,3.0,3.0380390625
130.0,14066712,3.0,3.0381367187499997
130.0,14066498,3.0,3.0380322265624997
130.0,14066353,3.0,3.0379614257812504
130.0,14066596,3.0,3.0380800781249997
130.0,14066595,3.0,3.0380795898437505
130.0,14066602,3.0,3.0380830078125003
130.0,14066510,3.0,3.0380380859375
